NAME,YEAR,MONTH,DAY,PRCP
"POCAHONTAS, IA US",2005,1,1,0
"POCAHONTAS, IA US",2005,1,2,0.03
"POCAHONTAS, IA US",2005,1,3,0
"POCAHONTAS, IA US",2005,1,4,0.02
"POCAHONTAS, IA US",2005,1,5,0.28
"POCAHONTAS, IA US",2005,1,6,0.29
"POCAHONTAS, IA US",2005,1,7,0
"POCAHONTAS, IA US",2005,1,8,0
"POCAHONTAS, IA US",2005,1,9,0
"POCAHONTAS, IA US",2005,1,10,0
"POCAHONTAS, IA US",2005,1,11,0
"POCAHONTAS, IA US",2005,1,12,0
"POCAHONTAS, IA US",2005,1,13,0
"POCAHONTAS, IA US",2005,1,14,0
"POCAHONTAS, IA US",2005,1,15,0
"POCAHONTAS, IA US",2005,1,16,0
"POCAHONTAS, IA US",2005,1,17,0
"POCAHONTAS, IA US",2005,1,18,0
"POCAHONTAS, IA US",2005,1,19,0
"POCAHONTAS, IA US",2005,1,20,0
"POCAHONTAS, IA US",2005,1,21,0
"POCAHONTAS, IA US",2005,1,22,0
"POCAHONTAS, IA US",2005,1,23,0
"POCAHONTAS, IA US",2005,1,24,0
"POCAHONTAS, IA US",2005,1,25,0
"POCAHONTAS, IA US",2005,1,26,0
"POCAHONTAS, IA US",2005,1,27,0
"POCAHONTAS, IA US",2005,1,28,0
"POCAHONTAS, IA US",2005,1,29,0
"POCAHONTAS, IA US",2005,1,30,0
"POCAHONTAS, IA US",2005,1,31,0
"POCAHONTAS, IA US",2005,2,1,0
"POCAHONTAS, IA US",2005,2,2,0
"POCAHONTAS, IA US",2005,2,3,0
"POCAHONTAS, IA US",2005,2,4,0
"POCAHONTAS, IA US",2005,2,5,0
"POCAHONTAS, IA US",2005,2,6,0
"POCAHONTAS, IA US",2005,2,7,0.2
"POCAHONTAS, IA US",2005,2,8,0
"POCAHONTAS, IA US",2005,2,9,0.05
"POCAHONTAS, IA US",2005,2,10,0
"POCAHONTAS, IA US",2005,2,11,0
"POCAHONTAS, IA US",2005,2,12,0
"POCAHONTAS, IA US",2005,2,13,0.59
"POCAHONTAS, IA US",2005,2,14,0.68
"POCAHONTAS, IA US",2005,2,15,0
"POCAHONTAS, IA US",2005,2,16,0
"POCAHONTAS, IA US",2005,2,17,0
"POCAHONTAS, IA US",2005,2,18,0
"POCAHONTAS, IA US",2005,2,19,0
"POCAHONTAS, IA US",2005,2,20,0.19
"POCAHONTAS, IA US",2005,2,21,0.02
"POCAHONTAS, IA US",2005,2,22,0
"POCAHONTAS, IA US",2005,2,23,0
"POCAHONTAS, IA US",2005,2,24,0.04
"POCAHONTAS, IA US",2005,2,25,0
"POCAHONTAS, IA US",2005,2,26,0
"POCAHONTAS, IA US",2005,2,27,0
"POCAHONTAS, IA US",2005,2,28,0
"POCAHONTAS, IA US",2005,3,1,0
"POCAHONTAS, IA US",2005,3,2,0
"POCAHONTAS, IA US",2005,3,3,0
"POCAHONTAS, IA US",2005,3,4,0
"POCAHONTAS, IA US",2005,3,5,0
"POCAHONTAS, IA US",2005,3,6,0
"POCAHONTAS, IA US",2005,3,7,0
"POCAHONTAS, IA US",2005,3,8,0
"POCAHONTAS, IA US",2005,3,9,0
"POCAHONTAS, IA US",2005,3,10,0.01
"POCAHONTAS, IA US",2005,3,11,0
"POCAHONTAS, IA US",2005,3,12,0.01
"POCAHONTAS, IA US",2005,3,13,0
"POCAHONTAS, IA US",2005,3,14,0
"POCAHONTAS, IA US",2005,3,15,0
"POCAHONTAS, IA US",2005,3,16,0
"POCAHONTAS, IA US",2005,3,17,0
"POCAHONTAS, IA US",2005,3,18,0
"POCAHONTAS, IA US",2005,3,19,0.43
"POCAHONTAS, IA US",2005,3,20,0
"POCAHONTAS, IA US",2005,3,21,0
"POCAHONTAS, IA US",2005,3,22,0
"POCAHONTAS, IA US",2005,3,23,0
"POCAHONTAS, IA US",2005,3,24,0
"POCAHONTAS, IA US",2005,3,25,0.24
"POCAHONTAS, IA US",2005,3,26,0
"POCAHONTAS, IA US",2005,3,27,0
"POCAHONTAS, IA US",2005,3,28,0
"POCAHONTAS, IA US",2005,3,29,0
"POCAHONTAS, IA US",2005,3,30,0
"POCAHONTAS, IA US",2005,3,31,0.64
"POCAHONTAS, IA US",2005,4,1,0
"POCAHONTAS, IA US",2005,4,2,0
"POCAHONTAS, IA US",2005,4,3,0
"POCAHONTAS, IA US",2005,4,4,0
"POCAHONTAS, IA US",2005,4,5,0
"POCAHONTAS, IA US",2005,4,6,0.05
"POCAHONTAS, IA US",2005,4,7,0
"POCAHONTAS, IA US",2005,4,8,0
"POCAHONTAS, IA US",2005,4,9,0
"POCAHONTAS, IA US",2005,4,10,0
"POCAHONTAS, IA US",2005,4,11,0.37
"POCAHONTAS, IA US",2005,4,12,0.79
"POCAHONTAS, IA US",2005,4,13,0.16
"POCAHONTAS, IA US",2005,4,14,0
"POCAHONTAS, IA US",2005,4,15,0
"POCAHONTAS, IA US",2005,4,16,0.06
"POCAHONTAS, IA US",2005,4,17,0.02
"POCAHONTAS, IA US",2005,4,18,0
"POCAHONTAS, IA US",2005,4,19,1.38
"POCAHONTAS, IA US",2005,4,20,0.08
"POCAHONTAS, IA US",2005,4,21,0
"POCAHONTAS, IA US",2005,4,22,0.39
"POCAHONTAS, IA US",2005,4,23,0
"POCAHONTAS, IA US",2005,4,24,0
"POCAHONTAS, IA US",2005,4,25,0
"POCAHONTAS, IA US",2005,4,26,0
"POCAHONTAS, IA US",2005,4,27,0.02
"POCAHONTAS, IA US",2005,4,28,0
"POCAHONTAS, IA US",2005,4,29,0
"POCAHONTAS, IA US",2005,4,30,0
"POCAHONTAS, IA US",2005,5,1,0
"POCAHONTAS, IA US",2005,5,2,0
"POCAHONTAS, IA US",2005,5,3,0
"POCAHONTAS, IA US",2005,5,4,0
"POCAHONTAS, IA US",2005,5,5,0
"POCAHONTAS, IA US",2005,5,6,0
"POCAHONTAS, IA US",2005,5,7,0.07
"POCAHONTAS, IA US",2005,5,8,0
"POCAHONTAS, IA US",2005,5,9,1.55
"POCAHONTAS, IA US",2005,5,10,0
"POCAHONTAS, IA US",2005,5,11,0.7
"POCAHONTAS, IA US",2005,5,12,1
"POCAHONTAS, IA US",2005,5,13,0.64
"POCAHONTAS, IA US",2005,5,14,0.02
"POCAHONTAS, IA US",2005,5,15,0
"POCAHONTAS, IA US",2005,5,16,0
"POCAHONTAS, IA US",2005,5,17,0
"POCAHONTAS, IA US",2005,5,18,0.55
"POCAHONTAS, IA US",2005,5,19,0.07
"POCAHONTAS, IA US",2005,5,20,0
"POCAHONTAS, IA US",2005,5,21,0.1
"POCAHONTAS, IA US",2005,5,22,0.02
"POCAHONTAS, IA US",2005,5,23,0
"POCAHONTAS, IA US",2005,5,24,0
"POCAHONTAS, IA US",2005,5,25,0
"POCAHONTAS, IA US",2005,5,26,0.92
"POCAHONTAS, IA US",2005,5,27,0.06
"POCAHONTAS, IA US",2005,5,28,0.05
"POCAHONTAS, IA US",2005,5,29,0.1
"POCAHONTAS, IA US",2005,5,30,0
"POCAHONTAS, IA US",2005,5,31,0
"POCAHONTAS, IA US",2005,6,1,0.14
"POCAHONTAS, IA US",2005,6,2,0
"POCAHONTAS, IA US",2005,6,3,0
"POCAHONTAS, IA US",2005,6,4,0.12
"POCAHONTAS, IA US",2005,6,5,0.46
"POCAHONTAS, IA US",2005,6,6,0.09
"POCAHONTAS, IA US",2005,6,7,0
"POCAHONTAS, IA US",2005,6,8,0.73
"POCAHONTAS, IA US",2005,6,9,0
"POCAHONTAS, IA US",2005,6,10,0.46
"POCAHONTAS, IA US",2005,6,11,1.72
"POCAHONTAS, IA US",2005,6,12,0.06
"POCAHONTAS, IA US",2005,6,13,0
"POCAHONTAS, IA US",2005,6,14,0.08
"POCAHONTAS, IA US",2005,6,15,0.1
"POCAHONTAS, IA US",2005,6,16,0
"POCAHONTAS, IA US",2005,6,17,0
"POCAHONTAS, IA US",2005,6,18,0
"POCAHONTAS, IA US",2005,6,19,0
"POCAHONTAS, IA US",2005,6,20,0
"POCAHONTAS, IA US",2005,6,21,0.07
"POCAHONTAS, IA US",2005,6,22,0
"POCAHONTAS, IA US",2005,6,23,0
"POCAHONTAS, IA US",2005,6,24,0
"POCAHONTAS, IA US",2005,6,25,2.58
"POCAHONTAS, IA US",2005,6,26,0.63
"POCAHONTAS, IA US",2005,6,27,0
"POCAHONTAS, IA US",2005,6,28,0.11
"POCAHONTAS, IA US",2005,6,29,0.06
"POCAHONTAS, IA US",2005,6,30,0.05
"POCAHONTAS, IA US",2005,7,1,0
"POCAHONTAS, IA US",2005,7,2,0
"POCAHONTAS, IA US",2005,7,3,0
"POCAHONTAS, IA US",2005,7,4,0
"POCAHONTAS, IA US",2005,7,5,0
"POCAHONTAS, IA US",2005,7,6,0
"POCAHONTAS, IA US",2005,7,7,0
"POCAHONTAS, IA US",2005,7,8,0
"POCAHONTAS, IA US",2005,7,9,0.2
"POCAHONTAS, IA US",2005,7,10,0
"POCAHONTAS, IA US",2005,7,11,0
"POCAHONTAS, IA US",2005,7,12,0.04
"POCAHONTAS, IA US",2005,7,13,0
"POCAHONTAS, IA US",2005,7,14,0
"POCAHONTAS, IA US",2005,7,15,0
"POCAHONTAS, IA US",2005,7,16,0
"POCAHONTAS, IA US",2005,7,17,0
"POCAHONTAS, IA US",2005,7,18,1.09
"POCAHONTAS, IA US",2005,7,19,0
"POCAHONTAS, IA US",2005,7,20,1.24
"POCAHONTAS, IA US",2005,7,21,0.45
"POCAHONTAS, IA US",2005,7,22,0
"POCAHONTAS, IA US",2005,7,23,0
"POCAHONTAS, IA US",2005,7,24,0
"POCAHONTAS, IA US",2005,7,25,0.1
"POCAHONTAS, IA US",2005,7,26,0.5
"POCAHONTAS, IA US",2005,7,27,0
"POCAHONTAS, IA US",2005,7,28,0
"POCAHONTAS, IA US",2005,7,29,0
"POCAHONTAS, IA US",2005,7,30,0
"POCAHONTAS, IA US",2005,7,31,0.2
"POCAHONTAS, IA US",2005,8,1,0
"POCAHONTAS, IA US",2005,8,2,0
"POCAHONTAS, IA US",2005,8,3,0
"POCAHONTAS, IA US",2005,8,4,0.54
"POCAHONTAS, IA US",2005,8,5,0
"POCAHONTAS, IA US",2005,8,6,0
"POCAHONTAS, IA US",2005,8,7,0
"POCAHONTAS, IA US",2005,8,8,0
"POCAHONTAS, IA US",2005,8,9,0
"POCAHONTAS, IA US",2005,8,10,0.13
"POCAHONTAS, IA US",2005,8,11,0.42
"POCAHONTAS, IA US",2005,8,12,0.16
"POCAHONTAS, IA US",2005,8,13,0
"POCAHONTAS, IA US",2005,8,14,0
"POCAHONTAS, IA US",2005,8,15,0
"POCAHONTAS, IA US",2005,8,16,0
"POCAHONTAS, IA US",2005,8,17,0
"POCAHONTAS, IA US",2005,8,18,0.16
"POCAHONTAS, IA US",2005,8,19,0
"POCAHONTAS, IA US",2005,8,20,0
"POCAHONTAS, IA US",2005,8,21,0
"POCAHONTAS, IA US",2005,8,22,0
"POCAHONTAS, IA US",2005,8,23,0
"POCAHONTAS, IA US",2005,8,24,0
"POCAHONTAS, IA US",2005,8,25,0
"POCAHONTAS, IA US",2005,8,26,0
"POCAHONTAS, IA US",2005,8,27,0
"POCAHONTAS, IA US",2005,8,28,0
"POCAHONTAS, IA US",2005,8,29,0
"POCAHONTAS, IA US",2005,8,30,0
"POCAHONTAS, IA US",2005,8,31,0
"POCAHONTAS, IA US",2005,9,1,0
"POCAHONTAS, IA US",2005,9,2,0
"POCAHONTAS, IA US",2005,9,3,0
"POCAHONTAS, IA US",2005,9,4,0
"POCAHONTAS, IA US",2005,9,5,0
"POCAHONTAS, IA US",2005,9,6,0.52
"POCAHONTAS, IA US",2005,9,7,0
"POCAHONTAS, IA US",2005,9,8,0
"POCAHONTAS, IA US",2005,9,9,0.78
"POCAHONTAS, IA US",2005,9,10,0
"POCAHONTAS, IA US",2005,9,11,0
"POCAHONTAS, IA US",2005,9,12,0
"POCAHONTAS, IA US",2005,9,13,0.03
"POCAHONTAS, IA US",2005,9,14,0
"POCAHONTAS, IA US",2005,9,15,0
"POCAHONTAS, IA US",2005,9,16,0
"POCAHONTAS, IA US",2005,9,17,0
"POCAHONTAS, IA US",2005,9,18,0
